amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_mdd,score
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.33991970400445304,1.4482911703262598,0.2698375144191807,-0.11265729075028275,1.46,0.975,1.0,0.85,0.45,0.825,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,0.3176924285223732,1.1801011976606492,0.2926358334175106,-0.18188513572116294,1.36,0.9,0.9,0.95,0.65,0.4,82.25000000000001
120843,Kotak Flexicap Fund - Regular - Growth,0.2957511058901836,1.3067439695428409,0.27330465038306057,-0.1297396816518679,1.45,0.85,0.975,0.9,0.475,0.7,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3243397122906222,1.093698743534631,0.2719535450128533,-0.16217208574644848,1.38,0.925,0.85,0.875,0.6,0.525,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.32478927222623,1.0265242847993001,0.2119482701352573,-0.12588275606922517,0.8,0.95,0.775,0.7,0.725,0.725,80.0
119094,Axis Midcap Fund - Regular - Growth,0.35102527889035406,0.9982309868636413,0.2607666908004223,-0.20960883862039192,1.38,1.0,0.75,0.8,0.6,0.325,76.99999999999999
119551,SBI Bluechip Fund - Regular Plan - Growth,0.3044861306002782,1.2082665673727175,0.23201007160635082,-0.1501238549864533,1.54,0.875,0.925,0.775,0.2625,0.6,74.81250000000001
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2917135767741186,1.2349300257743294,0.2827036785246582,-0.1639674294693263,1.6,0.825,0.95,0.925,0.1125,0.5,73.6875
101206,ABSL Frontline Equity Fund - Regular - Growth,0.28960211096593724,1.0272133278753695,0.21399784776051212,-0.11291596329323073,1.6,0.8,0.8,0.725,0.1125,0.8,68.1875
119598,SBI Small Cap Fund - Regular Plan - Growth,0.2666309129954312,0.9453082575156095,0.3033696538698332,-0.2870600572176455,1.43,0.725,0.675,1.0,0.5,0.125,67.37499999999999
149323,DSP Midcap Fund - Regular - Growth,0.26863103668817145,1.1321218524747243,0.26598577542043045,-0.17248105753451382,1.61,0.75,0.875,0.825,0.075,0.475,66.75
149324,DSP Small Cap Fund - Regular - Growth,0.2699350260734621,0.9497958246616031,0.3005787817097677,-0.31171900300634214,1.52,0.775,0.7,0.975,0.3625,0.1,66.6875
118632,Nippon India Large Cap Fund - Regular - Growth,0.22646647456747715,1.0816591793457042,0.21829397904608644,-0.17414075086657232,1.51,0.675,0.825,0.75,0.4125,0.45,66.56250000000001
119552,SBI Bluechip Fund - Direct Plan - Growth,0.16263375081360643,0.9532794968660104,0.1986859936686296,-0.11803493502764295,0.66,0.45,0.725,0.65,0.925,0.75,66.00000000000001
